number of rooms,security level of the community,residence space,building space,noise level,view,air quality level,exchange rate,price range,house_age,decorate_age,space_ratio,room_space,median_rank_zip code,median_rank_city,mean_rank_zip code,mean_rank_city
5,1.0,1120,9022,1.5,0,4,7.428402362,2,52,52,1.0,186.66666666666666,2.0,3.0,2.3195876288659796,2.76878612716763
2,1.5,1160,1438,2.0,0,3,6.508539724,2,13,13,1.0,386.6666666666667,2.0,2.0,2.6153846153846154,2.4857142857142858
3,3.0,1571,2017,3.0,0,3,6.167811556,2,6,6,1.0,392.75,2.0,2.0,2.2093023255813953,2.4857142857142858
4,1.75,1970,9389,1.0,0,5,7.988727564,2,54,54,0.5786802030456852,394.0,2.0,2.0,1.8876404494382022,1.9834710743801653
5,2.5,3090,12750,1.0,0,3,7.839322233,2,46,17,0.5663430420711975,515.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,2.5,2230,4000,2.0,0,3,7.545823175,2,60,9,1.0,557.5,2.0,2.0,2.6153846153846154,2.4857142857142858
2,1.75,2110,9519,1.0,0,2,6.737409588,2,66,66,1.0,703.3333333333334,2.0,2.0,1.9651162790697674,1.9834710743801653
2,1.0,840,5510,1.0,0,3,7.900756381,2,59,9,1.0,280.0,2.0,2.0,2.510204081632653,2.4857142857142858
2,3.0,1410,1240,2.0,0,3,6.625341022,2,8,8,0.8085106382978723,470.0,2.0,2.0,2.510204081632653,2.4857142857142858
3,2.25,1410,1332,3.0,0,3,6.908543321,2,9,9,1.0,352.5,3.0,2.0,2.725,2.4857142857142858
3,2.25,1800,36704,1.0,0,4,7.950086786,2,36,14,0.7555555555555555,450.0,3.0,3.0,2.8764044943820224,2.893854748603352
3,2.25,1620,998,2.5,0,3,7.327000148,2,4,4,0.9506172839506173,405.0,3.0,3.0,2.9080459770114944,2.893854748603352
3,2.5,1408,989,3.0,0,3,6.118290625,2,9,9,1.0,352.0,3.0,2.0,2.9158878504672896,2.4857142857142858
3,2.0,1410,6030,1.5,0,4,6.595839667,2,84,84,1.0,352.5,3.0,2.0,2.725,2.4857142857142858
2,2.5,1590,1426,2.0,0,3,7.330179162,2,0,0,1.0,530.0,3.0,3.0,2.9080459770114944,2.893854748603352
5,2.0,1840,9240,1.0,0,4,6.53865355,2,72,56,0.8369565217391305,306.6666666666667,2.0,2.0,1.8876404494382022,2.4857142857142858
4,2.0,1480,3844,1.5,0,5,7.602079056,2,86,44,1.0,296.0,2.0,2.0,1.8876404494382022,2.4857142857142858
3,2.5,3040,4535,2.0,0,3,7.516168047,2,7,7,1.0,760.0,2.0,2.0,2.0123456790123457,1.9136690647482015
4,3.0,2340,7048,1.0,0,4,6.458344621,2,35,35,0.5726495726495726,468.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,1.75,2010,9211,1.0,0,3,7.811246113,2,37,10,0.7313432835820896,402.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,2.5,2910,6479,2.0,0,3,7.7491122,2,8,8,1.0,582.0,3.0,3.0,2.727272727272727,2.727272727272727
4,1.0,2070,7519,1.0,0,3,7.055712921,3,51,6,0.5603864734299517,414.0,3.0,3.0,2.840909090909091,3.2899159663865545
3,2.5,1790,2700,2.0,0,3,6.034671033,3,4,4,1.0,447.5,3.0,3.0,2.8764044943820224,2.893854748603352
3,1.75,1560,5520,1.0,0,4,7.113558836,3,70,70,0.5,390.0,3.0,2.0,3.1875,2.4857142857142858
5,2.75,2740,8426,1.0,0,4,6.09387286,3,54,13,0.5,456.6666666666667,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.5,2910,6338,2.0,0,3,6.341038861,3,6,6,1.0,582.0,2.0,2.0,2.4705882352941178,1.9136690647482015
3,2.5,1940,3211,2.0,0,3,6.071957364,3,5,5,1.0,485.0,3.0,3.0,2.8764044943820224,2.893854748603352
3,2.5,1900,8744,2.0,0,3,7.310999816,3,27,14,1.0,475.0,3.0,3.0,3.032258064516129,3.2621951219512195
3,2.25,2010,6000,1.0,0,3,6.278156551,3,39,39,0.6616915422885572,502.5,3.0,3.0,3.1297709923664123,3.179372197309417
2,1.0,2540,7000,1.0,0,5,6.116115297,3,72,72,0.5196850393700787,846.6666666666666,2.0,2.0,2.116883116883117,2.4857142857142858
2,1.0,1770,8640,1.5,0,3,7.038668541,3,65,16,0.8587570621468926,590.0,3.0,2.0,2.71,2.4857142857142858
3,1.75,1670,39639,1.0,0,4,7.064966637,3,38,22,1.0,417.5,4.0,3.0,3.539473684210526,3.2621951219512195
3,1.75,1880,6360,1.0,0,4,7.43392241,3,69,69,0.5531914893617021,470.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,1.75,2300,11700,1.0,0,4,6.416538914,3,37,37,0.8521739130434782,460.0,3.0,3.0,3.1297709923664123,3.179372197309417
3,2.0,1800,5000,1.0,0,4,7.315469218,3,72,32,0.6,450.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.25,1990,7712,1.0,0,3,7.249852838,3,41,1,0.6080402010050251,398.0,3.0,3.0,2.8764044943820224,2.893854748603352
4,2.5,2440,6651,2.0,0,3,7.57440661,3,0,0,1.0,488.0,3.0,2.0,2.71,2.4857142857142858
3,1.5,2160,9000,1.0,2,4,6.67339354,3,65,29,0.6481481481481481,540.0,3.0,2.0,2.86,2.4857142857142858
3,2.5,1680,2000,3.0,0,3,7.704273264,3,105,16,1.0,420.0,3.0,2.0,3.303030303030303,2.4857142857142858
3,2.5,2490,4343,2.0,0,3,6.6463109,4,11,11,1.0,622.5,3.0,3.0,2.9080459770114944,2.893854748603352
4,2.5,2450,4247,2.0,0,3,7.618508304,4,1,1,1.0,490.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.5,3180,21904,2.0,3,3,6.736605589,4,14,14,1.0,636.0,2.0,2.0,2.4705882352941178,1.9136690647482015
4,2.5,2800,5900,1.0,0,3,7.553723257,4,51,6,0.5928571428571429,560.0,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.5,2120,10202,1.0,0,4,7.402041283,4,54,13,0.7641509433962265,424.0,4.0,3.0,3.5714285714285716,3.2899159663865545
3,2.0,2350,5700,1.5,0,4,7.767724558,4,75,25,0.7702127659574468,587.5,4.0,2.0,3.3666666666666667,2.4857142857142858
4,2.5,2730,10281,2.0,2,3,6.387260194,4,18,18,1.0,546.0,3.0,3.0,3.032258064516129,3.2621951219512195
3,2.5,3240,7857,2.0,0,3,6.909407491,4,20,20,1.0,810.0,4.0,3.0,3.539473684210526,3.2621951219512195
5,2.5,3180,13806,2.0,0,4,6.663166777,4,24,24,1.0,530.0,4.0,3.0,3.324675324675325,2.76878612716763
6,1.75,2920,5000,2.5,0,4,7.871275749,4,106,106,0.952054794520548,417.14285714285717,3.0,2.0,2.688888888888889,2.4857142857142858
4,2.5,3400,9692,2.0,0,3,7.792567538,4,7,7,1.0,680.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.0,2170,4000,2.0,0,4,7.088075843,4,32,3,0.7419354838709677,434.0,4.0,2.0,3.3666666666666667,2.4857142857142858
4,3.0,3690,9892,2.0,0,3,6.062798931,4,16,8,1.0,738.0,4.0,3.0,3.539473684210526,3.2621951219512195
4,4.25,4420,5750,2.0,0,3,7.821919405,4,8,8,0.7714932126696833,884.0,3.0,3.0,2.8764044943820224,2.893854748603352
5,3.5,4490,6000,2.0,0,3,6.28604995,4,8,8,0.7126948775055679,748.3333333333334,3.0,3.0,2.8764044943820224,2.893854748603352
5,2.75,3190,16920,1.0,3,3,7.330325503,4,38,38,0.5297805642633229,531.6666666666666,4.0,3.0,3.323809523809524,3.2899159663865545
5,3.5,4010,8510,2.0,1,5,6.285942376,4,43,43,0.7107231920199502,668.3333333333334,3.0,2.0,3.303030303030303,2.4857142857142858
7,8.0,13540,307752,3.0,4,3,7.442177152,4,15,15,0.6949778434268833,1692.5,3.0,3.0,3.2444444444444445,3.179372197309417
3,1.5,1420,8580,1.0,0,3,7.274198783,1,52,11,1.0,355.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,1.0,1010,7034,1.0,0,3,6.203209507,1,60,9,1.0,252.5,1.0,2.0,1.3846153846153846,1.9136690647482015
3,1.5,800,8850,1.0,0,4,7.99793349,1,55,55,1.0,200.0,1.0,1.0,1.4065934065934067,1.408450704225352
3,1.75,1690,7735,1.0,0,4,6.403011363,1,38,22,0.6272189349112426,422.5,1.0,1.0,1.2321428571428572,1.4172185430463575
3,1.75,1850,7684,1.0,0,3,7.304641389,1,35,0,0.7135135135135136,462.5,1.0,1.0,1.4065934065934067,1.408450704225352
2,1.0,900,5160,1.0,0,3,6.026750745,1,62,6,1.0,300.0,2.0,2.0,1.6,2.4857142857142858
3,1.75,1490,8366,1.0,0,4,6.912240622,1,39,39,0.6778523489932886,372.5,1.0,1.0,1.5168539325842696,1.2105263157894737
3,1.0,1050,6874,1.0,0,3,6.709705365,1,60,9,1.0,262.5,2.0,2.0,1.8876404494382022,1.9834710743801653
3,2.5,1650,13816,2.0,0,3,6.377775256,1,16,8,1.0,412.5,2.0,2.0,2.4375,2.4375
3,1.75,1580,8151,1.0,1,4,7.545590932,1,52,52,0.6962025316455697,395.0,1.0,1.0,1.510204081632653,1.4807692307692308
3,2.25,1970,11088,1.0,0,4,7.447117983,1,47,47,0.5989847715736041,492.5,2.0,2.0,1.9651162790697674,2.3529411764705883
3,1.75,1630,11800,1.0,0,4,6.37180511,1,43,43,1.0,407.5,2.0,2.0,1.8,1.8
4,2.5,2000,5390,2.0,0,3,7.262736465,1,11,11,1.0,400.0,1.0,1.0,1.5168539325842696,1.4444444444444444
3,2.25,1980,8000,1.0,0,4,6.033263716,1,40,40,0.7878787878787878,495.0,1.0,1.0,1.4065934065934067,1.408450704225352
4,2.0,1300,7054,1.0,0,3,6.741871239,2,64,1,1.0,260.0,2.0,2.0,1.8627450980392157,2.4857142857142858
3,1.0,1510,6083,1.0,0,4,7.857909498,2,74,13,0.5695364238410596,377.5,3.0,2.0,2.9158878504672896,2.4857142857142858
4,2.5,1890,6156,1.0,0,3,7.039593149,2,34,34,0.5185185185185185,378.0,2.0,2.0,1.6,2.4857142857142858
2,1.0,720,6687,1.0,0,3,7.767954241,2,72,15,1.0,240.0,3.0,2.0,2.71,2.4857142857142858
4,2.5,2331,3826,2.0,0,3,7.315431444,2,7,7,1.0,466.2,2.0,2.0,1.7666666666666666,1.9136690647482015
3,1.0,1110,6250,1.0,0,3,6.941293279,2,58,13,1.0,277.5,3.0,2.0,2.9158878504672896,2.4857142857142858
3,1.0,1350,7740,1.0,0,4,7.80106809,2,67,26,0.6370370370370371,337.5,2.0,2.0,2.2093023255813953,2.4857142857142858
4,2.0,2680,18768,1.0,0,5,7.685638568,2,49,49,1.0,536.0,1.0,1.0,1.2321428571428572,1.4172185430463575
3,2.25,1640,14374,1.0,0,4,7.347036227,2,51,51,0.6951219512195121,410.0,1.0,1.0,1.4375,1.7058823529411764
3,1.5,1310,8160,1.0,0,3,6.786610867,2,64,9,1.0,327.5,2.0,2.0,1.8876404494382022,2.4857142857142858
3,1.5,1410,9647,1.0,0,3,7.126380899,2,53,10,1.0,352.5,3.0,2.0,2.86,1.9834710743801653
3,2.0,1270,1320,3.0,0,3,6.195681903,2,8,8,1.0,317.5,3.0,2.0,2.725,2.4857142857142858
4,1.75,1500,11600,1.0,0,4,6.335647357,2,59,5,0.6666666666666666,300.0,2.0,2.0,2.3181818181818183,2.3230769230769233
3,1.75,1900,5520,1.0,0,3,6.259495209,2,32,32,0.6736842105263158,475.0,2.0,2.0,2.116883116883117,2.4857142857142858
3,1.0,1230,9568,1.0,0,5,6.732067622,2,52,52,1.0,307.5,2.0,3.0,2.0123456790123457,3.090909090909091
5,3.75,2890,5000,1.0,0,3,6.815399691,2,8,8,0.4532871972318339,481.6666666666667,2.0,2.0,2.6153846153846154,2.4857142857142858
3,1.75,1260,6500,1.0,0,4,7.718289819,2,48,48,1.0,315.0,3.0,3.0,2.840909090909091,3.2899159663865545
4,2.0,1440,7680,1.0,0,3,7.342406238,2,43,43,0.8333333333333334,288.0,2.0,3.0,2.3195876288659796,2.76878612716763
4,1.75,1840,10720,1.0,0,3,7.567465929,2,56,10,0.5217391304347826,368.0,3.0,3.0,2.840909090909091,3.2899159663865545
4,2.0,1520,7983,1.0,0,5,7.179957532,2,47,47,1.0,304.0,2.0,2.0,2.3195876288659796,2.0
3,3.5,3020,4082,2.0,0,3,7.035427296,2,60,10,0.6887417218543046,755.0,3.0,2.0,3.1875,2.4857142857142858
5,2.5,2240,7770,1.0,0,3,6.407137289,2,36,36,0.5982142857142857,373.3333333333333,2.0,3.0,2.3195876288659796,2.76878612716763
6,3.0,3470,117612,1.5,0,3,6.941112469,2,90,3,1.0,495.7142857142857,2.0,2.0,2.3181818181818183,2.3230769230769233
4,2.5,2740,45732,2.0,0,3,7.448757998,2,19,19,1.0,548.0,3.0,3.0,3.0208333333333335,2.8454545454545452
2,1.75,1660,6000,1.0,0,3,7.405129567,2,72,15,0.6987951807228916,553.3333333333334,3.0,2.0,3.303030303030303,2.4857142857142858
3,2.0,1420,4080,1.5,0,3,7.591634747,2,109,1,1.0,355.0,3.0,2.0,2.725,2.4857142857142858
5,2.0,2020,5000,1.5,0,4,6.587722764,2,76,76,1.0,336.6666666666667,3.0,2.0,2.71,2.4857142857142858
2,1.75,1170,2400,1.0,0,4,7.384240469,2,111,111,0.6324786324786325,390.0,3.0,2.0,2.725,2.4857142857142858
3,2.5,1480,1171,3.0,0,3,6.318972162,3,8,8,1.0,370.0,4.0,2.0,3.3666666666666667,2.4857142857142858
4,2.5,2000,5684,2.0,0,3,7.338090402,3,18,18,1.0,400.0,2.0,2.0,2.3181818181818183,2.3230769230769233
3,2.5,1790,7167,2.0,0,3,6.746891424,3,25,25,1.0,447.5,3.0,3.0,3.032258064516129,3.2621951219512195
3,1.5,1430,8000,1.0,0,4,6.289467993,3,58,58,1.0,357.5,3.0,3.0,3.1621621621621623,3.2899159663865545
3,2.5,2460,54885,2.0,0,4,7.823270627,3,34,34,1.0,615.0,2.0,2.0,2.4705882352941178,1.9136690647482015
3,2.5,2970,11985,1.0,0,3,7.93265174,3,19,19,0.5959595959595959,742.5,3.0,3.0,3.032258064516129,3.2621951219512195
5,2.5,2910,9636,1.0,0,4,6.90858692,3,50,50,0.5807560137457045,485.0,3.0,3.0,2.840909090909091,3.2899159663865545
5,2.75,1800,3780,1.5,0,3,6.811713276,3,88,11,0.7777777777777778,300.0,3.0,2.0,2.725,2.4857142857142858
3,2.5,1850,10109,2.0,0,3,6.723245051,3,23,23,1.0,462.5,2.0,3.0,2.3195876288659796,2.76878612716763
3,2.0,2000,7000,2.0,0,3,7.809158366,3,98,28,1.0,500.0,2.0,2.0,2.510204081632653,2.4857142857142858
5,2.25,3040,8111,2.0,0,3,7.114473149,3,30,30,1.0,506.6666666666667,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.0,3100,15480,2.0,0,3,7.400867765,3,18,18,0.7741935483870968,620.0,2.0,2.0,2.3181818181818183,2.3230769230769233
3,1.75,2130,6500,1.0,2,3,6.333696437,3,60,9,0.5492957746478874,532.5,3.0,2.0,3.1875,2.4857142857142858
4,3.25,3569,8327,2.0,0,3,7.878201452,3,1,1,1.0,713.8,2.0,2.0,1.68,1.9136690647482015
4,2.25,2260,29930,2.0,0,4,7.484127273,3,37,37,0.6194690265486725,452.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.5,2110,13850,2.0,0,3,6.901573955,3,27,14,1.0,422.0,3.0,3.0,2.8764044943820224,2.893854748603352
4,2.5,2150,37981,2.0,0,3,6.500301142,3,29,29,1.0,430.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,3.0,2450,10117,1.0,0,5,7.640243892,3,47,47,0.6448979591836734,490.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.0,2060,5000,1.0,0,3,7.798696583,3,65,1,0.5,412.0,3.0,2.0,2.71,2.4857142857142858
3,1.5,1630,7475,1.0,1,3,7.858570366,3,74,18,0.7116564417177914,407.5,3.0,2.0,2.9158878504672896,2.4857142857142858
4,3.5,3380,8330,2.0,0,3,7.953365869,3,14,14,1.0,676.0,3.0,2.0,2.86,1.9834710743801653
4,2.5,3030,7864,2.0,0,3,6.805185332,3,15,15,1.0,606.0,3.0,3.0,3.032258064516129,3.2621951219512195
4,2.5,3200,12369,2.0,0,3,7.692372467,4,16,8,1.0,640.0,2.0,3.0,2.4705882352941178,3.090909090909091
4,2.5,2290,12047,2.0,0,4,6.542495614,4,26,26,1.0,458.0,4.0,3.0,3.323809523809524,3.2899159663865545
4,2.5,3880,14550,2.0,0,3,7.871364274,4,27,14,1.0,776.0,3.0,3.0,3.032258064516129,3.2621951219512195
4,2.5,3040,6425,2.0,0,3,7.071184477,4,6,6,1.0,608.0,3.0,3.0,3.1297709923664123,3.179372197309417
4,2.0,3740,32417,2.0,0,3,6.75222445,4,14,14,1.0,748.0,3.0,3.0,3.2444444444444445,3.179372197309417
3,2.5,2690,4047,3.0,0,3,7.104839757,4,0,0,1.0,672.5,3.0,2.0,2.71,2.4857142857142858
4,2.75,3370,8103,1.0,3,3,7.762095445,4,44,0,0.5845697329376854,674.0,2.0,2.0,2.510204081632653,2.4857142857142858
